id,input,target,response,score,input_tokens,output_tokens,duration_ms
1,"Noem: Guantánamo Bay on the table to house deportees
Homeland Security Secretary Kristi L. Noem sign...",Guantánamo Bay,Guantánamo Bay,1.0,,,60499
2,"Supreme Court delays decision on Trump’s firing of watchdog agency leader
A divided Supreme Court on...",Firing government watchdogs,Firing government watchdogs,1.0,,,64498
3,"Hegseth to visit Guantanamo Bay as migrant detention takes shape
Defense Secretary Pete Hegseth is e...",Guantánamo Bay,Guantánamo Bay,1.0,,,54671
4,"Musk throws cold water on funding for Trump AI initiative
Elon Musk, the Tesla CEO and top ally of P...",AI,AI,1.0,,,56609
5,"Trans health, research programs ordered to stop by Trump administration
The Trump administration is ...",Transgender policy,Transgender policy,1.0,,,43304
6,"N.Y. Mayor Eric Adams pushes for permanent dismissal of his corruption case
NEW YORK — Mayor Eric Ad...",Eric Adams case,Eric Adams case,1.0,,,45995
9,"HHS in process of firing 5,200 workers, according to internal memo
In an extraordinary move, the Dep...",Federal workforce reductions,Federal workforce reductions,1.0,,,46509
11,"Trump administration seeking access to database of immigrant minors
The Trump administration is seek...",Immigration policy,Immigration policy,1.0,,,46984
13,President Donald Trump just signed executive orders declaring a “national energy emergency” and “unl...,Climate,Other,0.0,,,76863
15,"More than 40,000 workers said to accept deferred resignation offer
More than 40,000 people have acce...",Federal worker buyout,Federal worker buyout,1.0,,,58946
16,"Trump set to pull funding from schools based on race, gender teaching
The White House is preparing t...",DEI in schools,DEI in schools,1.0,,,332044
17,"Vaccine safety panel long criticized by RFK Jr. told to postpone meeting
The Trump administration ha...",Health care,Health care,1.0,,,51325
19,"Trump says he will fire Kennedy Center board members, appoint himself chairman
President Donald Trum...",Kennedy Center,Kennedy Center,1.0,,,55151
21,"Trump shuts off access to asylum, plans to send 10,000 troops to border
President <a href=""https://w...",U.S.-Mexico border,Immigration policy,0.0,,,46451
22,"Trump appoints loyalists to Kennedy Center board
President Donald Trump was officially elected chair...",Kennedy Center,Kennedy Center,1.0,,,52715
23,President Donald Trump signed an executive order Monday creating the “Department of Government Effic...,DOGE,Expanding executive power,0.0,,,102869
24,"HUD moves to cancel $1.1 billion in already-awarded housing upgrades
The Department of Housing and U...",Federal funding,Federal funding,1.0,,,69017
26,"Trump: Government will sell $5 million ‘gold card’ to wealthy immigrants
President Donald Trump said...",Immigration policy,Immigration policy,1.0,,,87853
27,"Trump says administration looking at sending criminals out of country
“Numerous countries” have offe...",Deportations,Deportations,1.0,,,111760
28,"Pentagon says ‘identity months’  like Black History Month are ‘dead’
Shortly after President Donald ...",DEI in the federal government,DEI in the federal government,1.0,,,97976
29,"U.S., Ukraine near deal to grant mineral rights to Washington
The Trump administration and the Ukrai...",War in Ukraine,Foreign policy,0.0,,,67541
30,"Trump to build mass detention camp for deportees at Guantánamo Bay
President <a href=""https://www.wa...",Guantánamo Bay,Deportations,0.0,,,78105
31,"Federal judge blocks Trump from slashing NIH funding in 22 states that sued
A federal district judge...",NIH,NIH,1.0,,,31667
